iter	Logloss
0	0.6789923632
1	0.6661089352
2	0.6520798514
3	0.6384973463
4	0.6262728539
5	0.6143340223
6	0.6008492914
7	0.5878808973
8	0.5752229348
9	0.5640136126
10	0.5542786119
11	0.5446677081
12	0.5336010963
13	0.5229322532
14	0.5109164959
15	0.500939557
16	0.4913199082
17	0.4806544046
18	0.4708721869
19	0.4617757291
20	0.4526087703
21	0.4437379484
22	0.4353007635
23	0.4272536195
24	0.4192517971
25	0.4121862199
26	0.4042788446
27	0.3967296634
28	0.3898316143
29	0.3830698076
30	0.3758357065
31	0.3689396937
32	0.3622011545
33	0.3552212751
34	0.3489444796
35	0.3432365683
36	0.337190627
37	0.3314634867
38	0.325873246
39	0.3210327935
40	0.3159068043
41	0.3102033094
42	0.3051684188
43	0.3000445634
44	0.2948929967
45	0.2899120684
46	0.285563678
47	0.2813980507
48	0.2772829358
49	0.2727798859
50	0.268597426
51	0.2642223136
52	0.2602589596
53	0.2566192384
54	0.2522846592
55	0.2484893938
56	0.2446854352
57	0.2411361194
58	0.237692875
59	0.2343276762
60	0.2309588042
61	0.2276131936
62	0.2248795259
63	0.2218586957
64	0.2189131834
65	0.2157415477
66	0.213101043
67	0.2104445216
68	0.2075973415
69	0.2049316199
70	0.2025854814
71	0.2000916352
72	0.197884155
73	0.1955403558
74	0.1934186723
75	0.191086883
76	0.1889720988
77	0.1866912779
78	0.1844989167
79	0.1825848398
80	0.1805751979
81	0.1785310368
82	0.1766600076
83	0.1746688173
84	0.1726941099
85	0.1708750673
86	0.1693304656
87	0.1677038693
88	0.1662592245
89	0.1645738402
90	0.1631182689
91	0.161798394
92	0.1600138829
93	0.158487741
94	0.1570849398
95	0.1556601358
96	0.1541839734
97	0.1523343629
98	0.1507724612
99	0.1491728303
100	0.1477762046
101	0.1463098577
102	0.1446862438
103	0.1430911112
104	0.1418937778
105	0.140816603
106	0.1396440277
107	0.1384767146
108	0.1372667775
109	0.136138881
110	0.1349532471
111	0.1339521774
112	0.1330398987
113	0.1319160523
114	0.1310955189
115	0.1301662222
116	0.1291191749
117	0.1281229828
118	0.127239077
119	0.1262187342
120	0.1251577873
121	0.1243701027
122	0.1237053503
123	0.1231477883
124	0.1223268404
125	0.1216800848
126	0.120795196
127	0.1197721098
128	0.1188782576
129	0.1181979182
130	0.1172753591
131	0.1164923894
132	0.1155353588
133	0.1150633127
134	0.1141798235
135	0.1134962325
136	0.1128685882
137	0.1123239307
138	0.1116800377
139	0.1110844552
140	0.1102321216
141	0.1095915491
142	0.1088663171
143	0.1082280711
144	0.1077033087
145	0.1070927997
146	0.1066839177
147	0.1061211025
148	0.1054836269
149	0.1047224088
150	0.1039295957
151	0.1034830481
152	0.1028540356
153	0.1024135989
154	0.1017688078
155	0.1013504241
156	0.100807021
157	0.1003001299
158	0.09986478796
159	0.09953330532
160	0.0991232994
